Human	Papillomaviruses
B4DR61	Papillomaviruses:P06428
B7Z4C8	Papillomaviruses:P06430
D6REE5	Papillomaviruses:P06428
E7EQR8	Papillomaviruses:P06428
E9PAV3	Papillomaviruses:P06428
E9PDI4	Papillomaviruses:P06428
E9PF18	Papillomaviruses:P06430
E9PI68	Papillomaviruses:P06430
F5H2X7	Papillomaviruses:P06428
F5H4X8	Papillomaviruses:P06430
F5H5D3	Papillomaviruses:P06428
F8W8H5	Papillomaviruses:P06428
F8WB74	Papillomaviruses:P06428
F8WB74	Papillomaviruses:P06430
H0Y449	Papillomaviruses:P06428
H0Y5K5	Papillomaviruses:P06428
H3BLT9	Papillomaviruses:P06428
H7C2N1	Papillomaviruses:P06428
I3L3P4	Papillomaviruses:P06428
I3L4C2	Papillomaviruses:P06428
K7EIK7	Papillomaviruses:P06428
K7EM18	Papillomaviruses:P06428
K7ER00	Papillomaviruses:P06428
K7ERV3	Papillomaviruses:P06428
M0QXB4	Papillomaviruses:P06428
M0QYS1	Papillomaviruses:P06428
M0R0R2	Papillomaviruses:P06428
O00299	Papillomaviruses:P06428
O00308	Papillomaviruses:P06422
O00468	Papillomaviruses:P06428
O14545	Papillomaviruses:P06428
O14684	Papillomaviruses:P06428
O14735	Papillomaviruses:P06422
O14773	Papillomaviruses:P06428
O14787	Papillomaviruses:P06428
O14907	Papillomaviruses:P06428
O15160	Papillomaviruses:P06430
O15230	Papillomaviruses:P06428
O15305	Papillomaviruses:P06422
O15498	Papillomaviruses:P06428
O43572	Papillomaviruses:P06430
O43678	Papillomaviruses:P06428
O43760	Papillomaviruses:P06428
O43791	Papillomaviruses:P06422
O60291	Papillomaviruses:P06428
O60341	Papillomaviruses:P06428
O60437	Papillomaviruses:P06428
O60763	Papillomaviruses:P06428
O75153	Papillomaviruses:P06428
O75352	Papillomaviruses:P06428
O75592	Papillomaviruses:P06428
O75688	Papillomaviruses:P06428
O75880	Papillomaviruses:P06428
O75934	Papillomaviruses:P06428
O75964	Papillomaviruses:P06428
O76050	Papillomaviruses:P06430
O94964	Papillomaviruses:P06428
O95166	Papillomaviruses:P06428
O95235	Papillomaviruses:P06422
O95400	Papillomaviruses:P06428
O95428	Papillomaviruses:P06428
P00156	Papillomaviruses:P06428
P00395	Papillomaviruses:P06428
P00403	Papillomaviruses:P06428
P00414	Papillomaviruses:P06428
P00414	Papillomaviruses:P06430
P00505	Papillomaviruses:P06430
P00846	Papillomaviruses:P06428
P01024	Papillomaviruses:P06428
P02538	Papillomaviruses:P06422
P03886	Papillomaviruses:P06428
P03891	Papillomaviruses:P06428
P03897	Papillomaviruses:P06428
P03905	Papillomaviruses:P06430
P03905	Papillomaviruses:P06428
P03915	Papillomaviruses:P06430
P03973	Papillomaviruses:P06428
P04083	Papillomaviruses:P06428
P04733	Papillomaviruses:P06428
P05388	Papillomaviruses:P06428
P05783	Papillomaviruses:P06428
P07196	Papillomaviruses:P06430
P08237	Papillomaviruses:P06428
P08729	Papillomaviruses:P06428
P09382	Papillomaviruses:P06428
P09543	Papillomaviruses:P06430
P09543	Papillomaviruses:P06428
P10074	Papillomaviruses:P06430
P11308	Papillomaviruses:P06430
P11684	Papillomaviruses:P06430
P11766	Papillomaviruses:P06428
P12109	Papillomaviruses:P06428
P12272	Papillomaviruses:P06428
P12429	Papillomaviruses:P06428
P13646	Papillomaviruses:P06428
P13807	Papillomaviruses:P06428
P14618	Papillomaviruses:P06428
P14678	Papillomaviruses:P06428
P15514	Papillomaviruses:P06422
P15954	Papillomaviruses:P06428
P16144	Papillomaviruses:P06422
P17302	Papillomaviruses:P06428
P17676	Papillomaviruses:P06422
P17900	Papillomaviruses:P06428
P17936	Papillomaviruses:P06430
P18848	Papillomaviruses:P06428
P18887	Papillomaviruses:P06428
P19012	Papillomaviruses:P06428
P19367	Papillomaviruses:P06430
P20645	Papillomaviruses:P06428
P21589	Papillomaviruses:P06428
P23458	Papillomaviruses:P06428
P24534	Papillomaviruses:P06428
P25398	Papillomaviruses:P06428
P25787	Papillomaviruses:P06422
P28300	Papillomaviruses:P06430
P28300	Papillomaviruses:P06428
P28702	Papillomaviruses:P06428
P29350	Papillomaviruses:P06428
P29353	Papillomaviruses:P06428
P30408	Papillomaviruses:P06428
P31274	Papillomaviruses:P06422
P31947	Papillomaviruses:P06428
P32242	Papillomaviruses:P06428
P32519	Papillomaviruses:P06430
P32519	Papillomaviruses:P06428
P32942	Papillomaviruses:P06428
P35080	Papillomaviruses:P06428
P35219	Papillomaviruses:P06430
P36578	Papillomaviruses:P06428
P36952	Papillomaviruses:P06428
P38936	Papillomaviruses:P06428
P40429	Papillomaviruses:P06428
P40937	Papillomaviruses:P06428
P46778	Papillomaviruses:P06428
P47869	Papillomaviruses:P06430
P47895	Papillomaviruses:P06428
P49643	Papillomaviruses:P06428
P49715	Papillomaviruses:P06422
P49750	Papillomaviruses:P06428
P49765	Papillomaviruses:P06428
P50222	Papillomaviruses:P06430
P50479	Papillomaviruses:P06430
P50616	Papillomaviruses:P06422
P51523	Papillomaviruses:P06422
P51553	Papillomaviruses:P06428
P53365	Papillomaviruses:P06422
P53621	Papillomaviruses:P06430
P54646	Papillomaviruses:P06428
P55040	Papillomaviruses:P06428
P57059	Papillomaviruses:P06428
P62081	Papillomaviruses:P06430
P62495	Papillomaviruses:P06428
P62891	Papillomaviruses:P06428
P63313	Papillomaviruses:P06428
P80188	Papillomaviruses:P06422
P82912	Papillomaviruses:P06428
Q00587	Papillomaviruses:P06428
Q01130	Papillomaviruses:P06422
Q01664	Papillomaviruses:P06428
Q04864	Papillomaviruses:P06430
Q06210	Papillomaviruses:P06428
Q07817	Papillomaviruses:P06422
Q08117	Papillomaviruses:P06428
Q08ER8	Papillomaviruses:P06428
Q12834	Papillomaviruses:P06422
Q12834	Papillomaviruses:P06428
Q13287	Papillomaviruses:P06422
Q13427	Papillomaviruses:P06430
Q13488	Papillomaviruses:P06428
Q13630	Papillomaviruses:P06428
Q13829	Papillomaviruses:P06430
Q13901	Papillomaviruses:P06428
Q13950	Papillomaviruses:P06422
Q14088	Papillomaviruses:P06428
Q14106	Papillomaviruses:P06430
Q14512	Papillomaviruses:P06428
Q14533	Papillomaviruses:P06422
Q14D33	Papillomaviruses:P06428
Q15125	Papillomaviruses:P06428
Q15561	Papillomaviruses:P06428
Q15562	Papillomaviruses:P06428
Q15648	Papillomaviruses:P06428
Q15678	Papillomaviruses:P06430
Q16629	Papillomaviruses:P06422
Q16787	Papillomaviruses:P06428
Q16825	Papillomaviruses:P06430
Q1MSJ5	Papillomaviruses:P06428
Q27J81	Papillomaviruses:P06428
Q49A26	Papillomaviruses:P06430
Q58WW2	Papillomaviruses:P06428
Q5EBL8	Papillomaviruses:P06428
Q5T1Z8	Papillomaviruses:P06428
Q5T280	Papillomaviruses:P06428
Q5VT06	Papillomaviruses:P06422
Q5VV89	Papillomaviruses:P06428
Q5VWN6	Papillomaviruses:P06430
Q5VWQ8	Papillomaviruses:P06428
Q63ZY3	Papillomaviruses:P06428
Q658P3	Papillomaviruses:P06428
Q66K74	Papillomaviruses:P06422
Q66K74	Papillomaviruses:P06430
Q68CP9	Papillomaviruses:P06430
Q68CZ2	Papillomaviruses:P06428
Q6AWC2	Papillomaviruses:P06430
Q6ICL0	Papillomaviruses:P06428
Q6IPX4	Papillomaviruses:P06428
Q6NUQ4	Papillomaviruses:P06428
Q6NXQ0	Papillomaviruses:P06422
Q6NYC8	Papillomaviruses:P06428
Q6NZI2	Papillomaviruses:P06430
Q6P1R4	Papillomaviruses:P06428
Q6UW68	Papillomaviruses:P06428
Q6UY11	Papillomaviruses:P06428
Q6ZMU5	Papillomaviruses:P06430
Q7L4I2	Papillomaviruses:P06428
Q7L5N7	Papillomaviruses:P06428
Q7Z4V5	Papillomaviruses:P06428
Q7Z7M9	Papillomaviruses:P06430
Q7Z7M9	Papillomaviruses:P06428
Q86SG4	Papillomaviruses:P06430
Q86UR1	Papillomaviruses:P06428
Q86W33	Papillomaviruses:P06428
Q86X02	Papillomaviruses:P06428
Q86X19	Papillomaviruses:P06428
Q8IVS8	Papillomaviruses:P06428
Q8IWA5	Papillomaviruses:P06428
Q8IWI9	Papillomaviruses:P06430
Q8IWI9	Papillomaviruses:P06422
Q8IWX8	Papillomaviruses:P06430
Q8IWX8	Papillomaviruses:P06422
Q8IXK0	Papillomaviruses:P06430
Q8IYI6	Papillomaviruses:P06428
Q8IYX8	Papillomaviruses:P06428
Q8N1B4	Papillomaviruses:P06422
Q8N271	Papillomaviruses:P06428
Q8N448	Papillomaviruses:P06430
Q8N6N6	Papillomaviruses:P06428
Q8N7W2	Papillomaviruses:P06430
Q8ND76	Papillomaviruses:P06428
Q8NEC5	Papillomaviruses:P06428
Q8NEM2	Papillomaviruses:P06428
Q8NHQ1	Papillomaviruses:P06428
Q8NI22	Papillomaviruses:P06428
Q8TAE8	Papillomaviruses:P06428
Q8TAK5	Papillomaviruses:P06430
Q8TAU3	Papillomaviruses:P06430
Q8TBB1	Papillomaviruses:P06430
Q8TBC3	Papillomaviruses:P06430
Q8TBR4	Papillomaviruses:P06428
Q8TD31	Papillomaviruses:P06428
Q8TE76	Papillomaviruses:P06428
Q8TEY7	Papillomaviruses:P06430
Q8TF32	Papillomaviruses:P06430
Q8WUB2	Papillomaviruses:P06428
Q8WUI4	Papillomaviruses:P06428
Q8WUI4	Papillomaviruses:P06430
Q8WUM9	Papillomaviruses:P06430
Q8WVQ1	Papillomaviruses:P06428
Q8WWH5	Papillomaviruses:P06422
Q8WZ19	Papillomaviruses:P06430
Q92520	Papillomaviruses:P06430
Q92585	Papillomaviruses:P06428
Q92982	Papillomaviruses:P06428
Q969E8	Papillomaviruses:P06430
Q969X2	Papillomaviruses:P06428
Q96AG4	Papillomaviruses:P06428
Q96BI3	Papillomaviruses:P06428
Q96BJ3	Papillomaviruses:P06430
Q96C00	Papillomaviruses:P06430
Q96CT7	Papillomaviruses:P06428
Q96DU7	Papillomaviruses:P06428
Q96EK4	Papillomaviruses:P06430
Q96EL3	Papillomaviruses:P06428
Q96FJ0	Papillomaviruses:P06430
Q96HA8	Papillomaviruses:P06428
