Human	Papillomaviruses
Q01130	Papillomaviruses:P06921
Q01628	Papillomaviruses:P06930
Q04864	Papillomaviruses:P06932
Q06481	Papillomaviruses:P06930
Q06587	Papillomaviruses:P06932
Q07817	Papillomaviruses:P06921
Q12796	Papillomaviruses:P06930
Q12834	Papillomaviruses:P06921
Q13131	Papillomaviruses:P06932
Q13287	Papillomaviruses:P06921
Q13895	Papillomaviruses:P06932
Q13950	Papillomaviruses:P06921
Q14533	Papillomaviruses:P06921
Q15038	Papillomaviruses:P06930
Q15223	Papillomaviruses:P06930
Q15434	Papillomaviruses:P06930
Q15544	Papillomaviruses:P06930
Q15544	Papillomaviruses:P06932
Q15545	Papillomaviruses:P06921
Q15545	Papillomaviruses:P06932
Q15561	Papillomaviruses:P06930
Q15561	Papillomaviruses:Q81983
Q15562	Papillomaviruses:Q81983
Q15562	Papillomaviruses:P06930
Q15906	Papillomaviruses:P06932
Q16514	Papillomaviruses:P06930
Q16514	Papillomaviruses:P06932
Q16584	Papillomaviruses:P06930
Q16584	Papillomaviruses:Q81983
Q16629	Papillomaviruses:P06921
Q2YD98	Papillomaviruses:P06930
Q2YD98	Papillomaviruses:Q81983
Q32Q12	Papillomaviruses:P06930
Q49A26	Papillomaviruses:P06932
Q5T1Z8	Papillomaviruses:P06930
Q5T7W7	Papillomaviruses:P06930
Q5T7W7	Papillomaviruses:Q81983
Q5TAP6	Papillomaviruses:P06932
Q5VT06	Papillomaviruses:P06921
Q5VWN6	Papillomaviruses:P06932
Q5VWZ2	Papillomaviruses:P06932
Q66K74	Papillomaviruses:P06921
Q66K74	Papillomaviruses:P06930
Q66K89	Papillomaviruses:P06932
Q69YH5	Papillomaviruses:P06930
Q6IBJ0	Papillomaviruses:P06921
Q6NXQ0	Papillomaviruses:P06921
Q6P0N0	Papillomaviruses:P06932
Q6P1W5	Papillomaviruses:P06932
Q6P1X5	Papillomaviruses:P06930
Q6P1X5	Papillomaviruses:P06932
Q7L523	Papillomaviruses:P06930
Q7Z695	Papillomaviruses:P06930
Q86U28	Papillomaviruses:P06932
Q86WA6	Papillomaviruses:P06930
Q86YB8	Papillomaviruses:P06930
Q86YD7	Papillomaviruses:P06932
Q8IWI9	Papillomaviruses:P06921
Q8IWX8	Papillomaviruses:P06921
Q8IWX8	Papillomaviruses:P06932
Q8IXB1	Papillomaviruses:P06932
Q8IYA8	Papillomaviruses:P06932
Q8N1B4	Papillomaviruses:P06921
Q8N2W9	Papillomaviruses:P06921
Q8N6R0	Papillomaviruses:P06930
Q8N7W2	Papillomaviruses:P06932
Q8NFJ5	Papillomaviruses:P06930
Q8TBB1	Papillomaviruses:P06932
Q8TC12	Papillomaviruses:P06930
Q8TCP9	Papillomaviruses:P06932
Q8TD10	Papillomaviruses:P06932
Q8TF32	Papillomaviruses:P06932
Q8WUM9	Papillomaviruses:P06932
Q8WWH5	Papillomaviruses:P06932
Q8WWH5	Papillomaviruses:P06921
Q8WWI5	Papillomaviruses:P06930
Q92585	Papillomaviruses:P06930
Q92876	Papillomaviruses:P06930
Q969E8	Papillomaviruses:P06932
Q96BJ3	Papillomaviruses:P06932
Q96BR6	Papillomaviruses:P06921
Q96EK4	Papillomaviruses:P06932
Q96EK4	Papillomaviruses:P06930
Q96EY1	Papillomaviruses:P06932
Q96HA8	Papillomaviruses:P06932
Q96JC1	Papillomaviruses:P06921
Q96KG9	Papillomaviruses:P06921
Q96N11	Papillomaviruses:P06930
Q96N66	Papillomaviruses:P06930
Q96N66	Papillomaviruses:Q81983
Q96QE5	Papillomaviruses:P06921
Q96QF0	Papillomaviruses:P06921
Q96SH1	Papillomaviruses:P06932
Q96T23	Papillomaviruses:P06921
Q96TA2	Papillomaviruses:P06930
Q99698	Papillomaviruses:P06921
Q9BQB6	Papillomaviruses:Q81983
Q9BQB6	Papillomaviruses:P06932
Q9BQB6	Papillomaviruses:P06930
Q9BRD0	Papillomaviruses:P06930
Q9BRH9	Papillomaviruses:P06921
Q9BUK6	Papillomaviruses:P06930
Q9BVW5	Papillomaviruses:P06921
Q9BWF2	Papillomaviruses:P06932
Q9BWF3	Papillomaviruses:P06932
Q9BWG6	Papillomaviruses:P06932
Q9BY21	Papillomaviruses:P06930
Q9BYG5	Papillomaviruses:P06932
Q9BZF9	Papillomaviruses:P06921
Q9BZZ5	Papillomaviruses:P06932
Q9C086	Papillomaviruses:P06932
Q9C0F1	Papillomaviruses:P06932
Q9GZP9	Papillomaviruses:P06921
Q9H497	Papillomaviruses:P06930
Q9H5V8	Papillomaviruses:P06921
Q9H972	Papillomaviruses:P06932
Q9NP81	Papillomaviruses:P06932
Q9NQY0	Papillomaviruses:P06932
Q9NRL2	Papillomaviruses:P06921
Q9NS73	Papillomaviruses:P06932
Q9NX07	Papillomaviruses:P06930
Q9NXA8	Papillomaviruses:P06932
Q9NY93	Papillomaviruses:P06921
Q9NYF3	Papillomaviruses:P06921
Q9NYY3	Papillomaviruses:P06921
Q9NZN4	Papillomaviruses:P06930
Q9NZV6	Papillomaviruses:P06921
Q9P086	Papillomaviruses:P06921
Q9UBD5	Papillomaviruses:P06921
Q9UBV8	Papillomaviruses:Q81983
Q9UBV8	Papillomaviruses:P06930
Q9UHY1	Papillomaviruses:P06921
Q9UJ37	Papillomaviruses:P06930
Q9UNF1	Papillomaviruses:P06930
Q9Y244	Papillomaviruses:P06921
Q9Y570	Papillomaviruses:P06921
Q9Y5M8	Papillomaviruses:P06930
Q9Y5M8	Papillomaviruses:Q81983
Q9Y617	Papillomaviruses:P06930
Q9Y696	Papillomaviruses:P06932
Q9Y6N5	Papillomaviruses:P06932
Q9Y6N5	Papillomaviruses:P06930
Q9Y6N5	Papillomaviruses:Q81983
X6R8F3	Papillomaviruses:P06930
Q12959	Papillomaviruses:P36807
Q12959	Papillomaviruses:P26554
P20226	refseq:NP_597740
Q07955	refseq:NP_597740
Q16236	refseq:NP_597740
Q86VP1	refseq:NP_597740
P11021	refseq:NP_597740
P04637	refseq:NP_597740
Q15365	refseq:NP_597740
Q9UM11	refseq:NP_597740
O60885	refseq:NP_597740
O75925	refseq:NP_597740
Q9BXK5	refseq:NP_597740
O95251	refseq:NP_597740
P06733	refseq:NP_597740
Q14289	refseq:NP_597740
Q8NAP3	refseq:NP_597740
Q9Y2S7	refseq:NP_597740
Q9UJY5	refseq:NP_597740
Q8WWY3	refseq:NP_597740
Q13227	refseq:NP_597740
P22736	refseq:NP_597740
P04792	refseq:NP_597740
P55209	refseq:NP_597740
P22314	refseq:NP_597740
P0DP24	refseq:NP_597740
Q14790	refseq:NP_597740
P13667	refseq:NP_597740
O94842	refseq:NP_597740
O00308	refseq:NP_597740
O14617	refseq:NP_597740
O14735	refseq:NP_597740
O15305	refseq:NP_597740
O43791	refseq:NP_597740
O95235	refseq:NP_597740
P02538	refseq:NP_597740
P15514	refseq:NP_597740
P16144	refseq:NP_597740
P25787	refseq:NP_597740
P26641	refseq:NP_597740
P31274	refseq:NP_597740
P50616	refseq:NP_597740
P51523	refseq:NP_597740
P53365	refseq:NP_597740
P80188	refseq:NP_597740
Q07817	refseq:NP_597740
Q12834	refseq:NP_597740
Q13287	refseq:NP_597740
Q13950	refseq:NP_597740
Q14533	refseq:NP_597740
Q16629	refseq:NP_597740
Q5VT06	refseq:NP_597740
Q66K74	refseq:NP_597740
Q6NXQ0	refseq:NP_597740
Q8IWI9	refseq:NP_597740
Q8N1B4	refseq:NP_597740
Q8N2W9	refseq:NP_597740
Q8NEZ5	refseq:NP_597740
Q8WWH5	refseq:NP_597740
Q96BJ3	refseq:NP_597740
Q96JC1	refseq:NP_597740
Q96KG9	refseq:NP_597740
Q96QE5	refseq:NP_597740
Q96QF0	refseq:NP_597740
Q96T23	refseq:NP_597740
Q9BRH9	refseq:NP_597740
Q9BVW5	refseq:NP_597740
Q9BZF9	refseq:NP_597740
Q9GZP9	refseq:NP_597740
Q9NRL2	refseq:NP_597740
Q9NY93	refseq:NP_597740
Q9NYF3	refseq:NP_597740
Q9P086	refseq:NP_597740
Q9UHY1	refseq:NP_597740
Q9Y244	refseq:NP_597740
Q9Y570	refseq:NP_597740
P20226	Papillomaviruses:P03118
Q07955	Papillomaviruses:P03118
P36507	Papillomaviruses:P06929
O75376	Papillomaviruses:P06465
Q16236	Papillomaviruses:P03118
P68104	Papillomaviruses:P06929
P68104	Papillomaviruses:P06465
P62158	Papillomaviruses:P03118
P04406	Papillomaviruses:P06929
Q86VP1	Papillomaviruses:P03118
P11021	Papillomaviruses:P03118
P02795	Papillomaviruses:P06465
P04637	Papillomaviruses:P03118
Q15365	Papillomaviruses:P03118
Q9UM11	Papillomaviruses:P03118
O60885	Papillomaviruses:P03118
O00339	Papillomaviruses:P06465
P06400	Papillomaviruses:P06465
O75925	Papillomaviruses:P03118
Q9BXK5	Papillomaviruses:P03118
Q13263	Papillomaviruses:P06929
O95433	Papillomaviruses:P06465
O43809	Papillomaviruses:P06465
O95251	Papillomaviruses:P03118
P07339	Papillomaviruses:P06929
P06733	Papillomaviruses:P06929
P06733	Papillomaviruses:P03118
Q14289	Papillomaviruses:P03118
Q8NCG7	Papillomaviruses:P06465
Q15022	Papillomaviruses:P06465
Q15022	Papillomaviruses:P06929
Q8NAP3	Papillomaviruses:P03118
Q9Y2S7	Papillomaviruses:P03118
Q9UJY5	Papillomaviruses:P03118
Q8WWY3	Papillomaviruses:P03118
Q9UBQ5	Papillomaviruses:P06929
Q13227	Papillomaviruses:P06929
Q13227	Papillomaviruses:P03118
P22736	Papillomaviruses:P03118
Q99729	Papillomaviruses:P06465
P04792	Papillomaviruses:P03118
P41134	Papillomaviruses:P06929
P55209	Papillomaviruses:P03118
O96000	Papillomaviruses:P06929
Q53GQ0	Papillomaviruses:P06465
P54725	Papillomaviruses:P06465
P35250	Papillomaviruses:P06929
P27635	Papillomaviruses:P06465
P62266	Papillomaviruses:P06929
P05109	Papillomaviruses:P06929
P22314	Papillomaviruses:P03118
Q14790	Papillomaviruses:P03118
O60814	Papillomaviruses:P06465
Q99613	Papillomaviruses:P06465
O00303	Papillomaviruses:P06929
P13667	Papillomaviruses:P03118
O94842	Papillomaviruses:P03118
A0A0A0MSG2	Papillomaviruses:P06465
A0A0A0MT60	Papillomaviruses:P06929
A0A0C4DG91	Papillomaviruses:P06929
A0A0C4DGG9	Papillomaviruses:P06465
A0A0C4DGQ5	Papillomaviruses:P06465
A0A0C4DGQ5	Papillomaviruses:P06929
A6PVS8	Papillomaviruses:P06465
B3KS98	Papillomaviruses:P06929
C9JUH5	Papillomaviruses:P06929
C9JYJ0	Papillomaviruses:P06929
E9PF18	Papillomaviruses:P06465
F8W9E7	Papillomaviruses:P06465
H0Y6T8	Papillomaviruses:P06465
H0YFD6	Papillomaviruses:P06929
H7BY58	Papillomaviruses:P06929
I3L0L0	Papillomaviruses:P06929
O00308	Papillomaviruses:P03118
O00716	Papillomaviruses:P06465
O00762	Papillomaviruses:P06929
O14617	Papillomaviruses:P03118
O14735	Papillomaviruses:P03118
O15305	Papillomaviruses:P03118
O43278	Papillomaviruses:P06929
O43791	Papillomaviruses:P03118
O75348	Papillomaviruses:P06929
O75880	Papillomaviruses:P06929
O95235	Papillomaviruses:P03118
P00338	Papillomaviruses:P06929
P00403	Papillomaviruses:P06929
P00403	Papillomaviruses:P06465
P00505	Papillomaviruses:P06465
P01034	Papillomaviruses:P06465
P02538	Papillomaviruses:P03118
P03905	Papillomaviruses:P06465
P04733	Papillomaviruses:P06929
P07203	Papillomaviruses:P06929
P07996	Papillomaviruses:P06465
P08727	Papillomaviruses:P06929
P11684	Papillomaviruses:P06929
P13807	Papillomaviruses:P06465
P14550	Papillomaviruses:P06465
P14923	Papillomaviruses:P06929
P15311	Papillomaviruses:P06465
P15514	Papillomaviruses:P03118
P16144	Papillomaviruses:P03118
P17936	Papillomaviruses:P06465
P18283	Papillomaviruses:P06929
P18887	Papillomaviruses:P06929
P24385	Papillomaviruses:P06465
P25106	Papillomaviruses:P06465
P25787	Papillomaviruses:P03118
P26641	Papillomaviruses:P03118
P31274	Papillomaviruses:P03118
P35659	Papillomaviruses:P06465
P47869	Papillomaviruses:P06465
P50616	Papillomaviruses:P03118
P51523	Papillomaviruses:P03118
P53365	Papillomaviruses:P03118
P60903	Papillomaviruses:P06465
P61803	Papillomaviruses:P06929
P63313	Papillomaviruses:P06465
P80188	Papillomaviruses:P03118
Q01130	Papillomaviruses:P03118
Q07817	Papillomaviruses:P03118
Q12834	Papillomaviruses:P03118
Q13084	Papillomaviruses:P06929
Q13287	Papillomaviruses:P03118
Q13950	Papillomaviruses:P03118
Q14533	Papillomaviruses:P03118
Q14703	Papillomaviruses:P06465
Q15582	Papillomaviruses:P06929
Q16629	Papillomaviruses:P03118
Q5T1Z8	Papillomaviruses:P06929
Q5T1Z8	Papillomaviruses:P06465
Q5T5C7	Papillomaviruses:P06465
Q5VT06	Papillomaviruses:P03118
Q5VWQ8	Papillomaviruses:P06465
Q66K74	Papillomaviruses:P06929
Q66K74	Papillomaviruses:P03118
Q7Z6J9	Papillomaviruses:P06929
Q86U28	Papillomaviruses:P06465
Q86W33	Papillomaviruses:P06929
Q8IWI9	Papillomaviruses:P03118
Q8IWI9	Papillomaviruses:P06465
Q8IWX8	Papillomaviruses:P06465
Q8N1B4	Papillomaviruses:P03118
Q8N2W9	Papillomaviruses:P03118
Q8NDA8	Papillomaviruses:P06929
Q8NEZ5	Papillomaviruses:P03118
Q8TBR4	Papillomaviruses:P06929
Q8TCT4	Papillomaviruses:P03105
Q8WWH5	Papillomaviruses:P03118
Q92597	Papillomaviruses:P06929
Q969X2	Papillomaviruses:P06929
Q96BJ3	Papillomaviruses:P03118
Q96EK4	Papillomaviruses:P06465
Q96JC1	Papillomaviruses:P03118
Q96KG9	Papillomaviruses:P03118
Q96LL9	Papillomaviruses:P06929
Q96N11	Papillomaviruses:P06465
Q96QE5	Papillomaviruses:P03118
Q96QF0	Papillomaviruses:P03118
Q96SH1	Papillomaviruses:P06465
Q96SH1	Papillomaviruses:P06929
Q96T23	Papillomaviruses:P03118
Q99538	Papillomaviruses:P06929
Q99832	Papillomaviruses:P06929
Q9BRH9	Papillomaviruses:P03118
Q9BVW5	Papillomaviruses:P03118
Q9BZF9	Papillomaviruses:P03118
Q9GZM7-1	Papillomaviruses:P03105
Q9GZP9	Papillomaviruses:P03118
Q9H6D7	Papillomaviruses:P06929
Q9HBE1-1	Papillomaviruses:P03105
Q9NRL2	Papillomaviruses:P03118
Q9NRX4	Papillomaviruses:P06465
Q9NWX6	Papillomaviruses:P06465
Q9NY93	Papillomaviruses:P03118
Q9NYF3	Papillomaviruses:P03118
Q9P086	Papillomaviruses:P03118
Q9UHY1	Papillomaviruses:P03118
Q9UQ26	Papillomaviruses:P06929
Q9Y244	Papillomaviruses:P03118
Q9Y244	Papillomaviruses:P06929
Q9Y3B6	Papillomaviruses:P06929
Q9Y570	Papillomaviruses:P03118
O15111	Papillomaviruses:Q07857
P20226	Papillomaviruses:P36778
Q07955	Papillomaviruses:P36778
P02751	Papillomaviruses:P36778
Q16236	Papillomaviruses:P36778
P04406	Papillomaviruses:P36799
Q86VP1	Papillomaviruses:P36778
Q13813	Papillomaviruses:P36778
P12814	Papillomaviruses:P36778
P11021	Papillomaviruses:P36778
Q12959	Papillomaviruses:P36799
P04637	Papillomaviruses:P36778
Q15365	Papillomaviruses:P36778
Q9UM11	Papillomaviruses:P36778
O60885	Papillomaviruses:P36778
Q05086	Papillomaviruses:P36799
Q9BXK5	Papillomaviruses:P36778
Q13263	Papillomaviruses:P36799
P06733	Papillomaviruses:P36799
P06733	Papillomaviruses:P36778
Q14289	Papillomaviruses:P36778
Q14696	Papillomaviruses:P36799
Q15022	Papillomaviruses:P36799
Q9Y2S7	Papillomaviruses:P36778
Q9UJY5	Papillomaviruses:P36778
Q13227	Papillomaviruses:P36778
P17096	Papillomaviruses:P36799
P22736	Papillomaviruses:P36778
P04792	Papillomaviruses:P36778
P55209	Papillomaviruses:P36778
Q09161	Papillomaviruses:P36799
Q5TAQ9	Papillomaviruses:P36799
Q9Y3D0	Papillomaviruses:P36799
Q02878	Papillomaviruses:P36799
P22314	Papillomaviruses:P36778
Q9BQA1	Papillomaviruses:P36799
Q14790	Papillomaviruses:P36778
Q9BPW8	Papillomaviruses:P36799
P13667	Papillomaviruses:P36778
O94842	Papillomaviruses:P36778
A0A0D9SGF6	Papillomaviruses:P36778
G3V483	Papillomaviruses:P36778
O00308	Papillomaviruses:P36778
O14617	Papillomaviruses:P36778
O14735	Papillomaviruses:P36778
O15305	Papillomaviruses:P36778
O43791	Papillomaviruses:P36778
O95235	Papillomaviruses:P36778
O95425	Papillomaviruses:P36799
P00156	Papillomaviruses:P36799
P00414	Papillomaviruses:P36799
P00505	Papillomaviruses:P36799
P02538	Papillomaviruses:P36778
P15514	Papillomaviruses:P36778
P16144	Papillomaviruses:P36778
P26641	Papillomaviruses:P36778
P31274	Papillomaviruses:P36778
P36952	Papillomaviruses:P36799
P42772	Papillomaviruses:P36799
P53365	Papillomaviruses:P36778
P61160	Papillomaviruses:P36799
P78385	Papillomaviruses:P36799
P80188	Papillomaviruses:P36778
Q07817	Papillomaviruses:P36778
Q13287	Papillomaviruses:P36778
Q14511	Papillomaviruses:P36799
Q14533	Papillomaviruses:P36778
Q15223	Papillomaviruses:P36778
Q16563	Papillomaviruses:P36799
Q16629	Papillomaviruses:P36778
Q5T1Z8	Papillomaviruses:P36799
Q5VT06	Papillomaviruses:P36778
Q66K74	Papillomaviruses:P36799
Q66K74	Papillomaviruses:P36778
Q7L622	Papillomaviruses:P36778
Q8IWI9	Papillomaviruses:P36778
Q8IZC6	Papillomaviruses:P36799
Q8N1B4	Papillomaviruses:P36778
Q8TAS2	Papillomaviruses:P36799
Q8WWH5	Papillomaviruses:P36778
Q96BJ3	Papillomaviruses:P36778
Q96JC1	Papillomaviruses:P36778
Q96KG9	Papillomaviruses:P36778
Q96QE5	Papillomaviruses:P36778
Q96QF0	Papillomaviruses:P36778
Q96T23	Papillomaviruses:P36778
Q9BVW5	Papillomaviruses:P36778
Q9GZP9	Papillomaviruses:P36778
Q9H396	Papillomaviruses:P36799
Q9H5V8	Papillomaviruses:P36778
Q9HB07	Papillomaviruses:P36799
Q9NRL2	Papillomaviruses:P36778
Q9UHY1	Papillomaviruses:P36778
Q9UQ26	Papillomaviruses:P36799
Q9Y244	Papillomaviruses:P36778
Q9Y3D3	Papillomaviruses:P36799
Q9Y570	Papillomaviruses:P36778
Q9Y6X2	Papillomaviruses:P36778
P20226	Papillomaviruses:P24830
P36507	Papillomaviruses:P24835
P60709	Papillomaviruses:P24835
P02792	Papillomaviruses:P24835
P68104	Papillomaviruses:P24835
P62158	Papillomaviruses:P24830
P04406	Papillomaviruses:P24835
Q86VP1	Papillomaviruses:P24830
Q13813	Papillomaviruses:P24830
P11021	Papillomaviruses:P24830
O14980	Papillomaviruses:P24830
Q12959	Papillomaviruses:P24835
Q92905	Papillomaviruses:P24830
P02795	Papillomaviruses:P24830
Q8IWZ3	Papillomaviruses:P24835
P04637	Papillomaviruses:P24830
Q15365	Papillomaviruses:P24835
O60885	Papillomaviruses:P24830
P07858	Papillomaviruses:P24830
Q9BXK5	Papillomaviruses:P24830
P55265	Papillomaviruses:P24835
O95251	Papillomaviruses:P24830
P06733	Papillomaviruses:P24835
Q14289	Papillomaviruses:P24830
Q9Y2S7	Papillomaviruses:P24830
Q13227	Papillomaviruses:P24830
P07355	Papillomaviruses:P24835
P61086	Papillomaviruses:P24830
P22736	Papillomaviruses:P24830
P04792	Papillomaviruses:P24830
O96000	Papillomaviruses:P24835
P07237	Papillomaviruses:P24835
Q9Y3D0	Papillomaviruses:P24835
P62487	Papillomaviruses:P24835
P53041	Papillomaviruses:P24835
P20618	Papillomaviruses:P24835
P35250	Papillomaviruses:P24835
P21912	Papillomaviruses:P24835
Q14790	Papillomaviruses:P24830
Q13242	Papillomaviruses:P24835
O95067	Papillomaviruses:P24835
Q96GD4	Papillomaviruses:P24830
P13667	Papillomaviruses:P24830
O94842	Papillomaviruses:P24830
A0A0D9SGF6	Papillomaviruses:P24830
A0A0U1RQC9	Papillomaviruses:P24830
A2BF26	Papillomaviruses:P24830
B4DZM6	Papillomaviruses:P24835
D6REE5	Papillomaviruses:P24835
D6RFN0	Papillomaviruses:P24835
E7EMB3	Papillomaviruses:P24830
E9PDI4	Papillomaviruses:P24835
E9PF18	Papillomaviruses:P24835
H0YMD1	Papillomaviruses:P24835
H3BSP9	Papillomaviruses:P24830
I3L0L0	Papillomaviruses:P24835
O00115	Papillomaviruses:P24835
O00203	Papillomaviruses:P24835
O14613	Papillomaviruses:P24835
O14735	Papillomaviruses:P24830
O15230	Papillomaviruses:P24835
O15305	Papillomaviruses:P24830
O43790	Papillomaviruses:P24835
O43791	Papillomaviruses:P24830
O43824	Papillomaviruses:P24835
O75880	Papillomaviruses:P24835
O95377	Papillomaviruses:P24835
O95394	Papillomaviruses:P24835
O95471	Papillomaviruses:P24830
P00338	Papillomaviruses:P24835
P00403	Papillomaviruses:P24835
P02533	Papillomaviruses:P24835
P02538	Papillomaviruses:P24830
P03973	Papillomaviruses:P24835
P04733	Papillomaviruses:P24835
P07203	Papillomaviruses:P24835
P08572	Papillomaviruses:P24835
P09668	Papillomaviruses:P24835
P0DP58	Papillomaviruses:P24835
P11474	Papillomaviruses:P24830
P14618	Papillomaviruses:P24835
P16144	Papillomaviruses:P24830
P20073	Papillomaviruses:P24835
P20839	Papillomaviruses:P24835
P22695	Papillomaviruses:P24835
P29400	Papillomaviruses:P24835
P31274	Papillomaviruses:P24830
P48645	Papillomaviruses:P24835
P49662	Papillomaviruses:P24835
P53634	Papillomaviruses:P24835
P60602	Papillomaviruses:P24830
P61158	Papillomaviruses:P24835
P78545	Papillomaviruses:P24835
P80188	Papillomaviruses:P24830
P98170	Papillomaviruses:P24835
Q07817	Papillomaviruses:P24830
Q08397	Papillomaviruses:P24835
Q12931	Papillomaviruses:P24835
Q13045	Papillomaviruses:P24835
Q13287	Papillomaviruses:P24830
Q13950	Papillomaviruses:P24830
Q14134	Papillomaviruses:P24830
Q14160	Papillomaviruses:P24835
Q14533	Papillomaviruses:P24835
Q15014	Papillomaviruses:P24835
Q15223	Papillomaviruses:P24830
Q16629	Papillomaviruses:P24830
Q3B726	Papillomaviruses:P24835
Q5T1Z8	Papillomaviruses:P24835
Q5VSL9	Papillomaviruses:P24835
Q5VT06	Papillomaviruses:P24830
Q66K74	Papillomaviruses:P24830
Q6KB66	Papillomaviruses:P24835
Q6P1K1	Papillomaviruses:P24835
Q6RW13	Papillomaviruses:P24835
Q86W33	Papillomaviruses:P24835
Q8IWI9	Papillomaviruses:P24830
Q8IYJ3	Papillomaviruses:P24835
Q8IZC6	Papillomaviruses:P24830
Q8N1B4	Papillomaviruses:P24830
Q8N2W9	Papillomaviruses:P24830
Q8NC44	Papillomaviruses:P24835
Q8NEZ5	Papillomaviruses:P24830
Q8WVP5	Papillomaviruses:P24835
Q8WWH5	Papillomaviruses:P24830
Q92530	Papillomaviruses:P24835
Q92597	Papillomaviruses:P24835
Q96BQ5	Papillomaviruses:P24835
Q96EK4	Papillomaviruses:P24835
Q96JC1	Papillomaviruses:P24830
Q96QE5	Papillomaviruses:P24830
Q96T23	Papillomaviruses:P24830
Q9BRV3	Papillomaviruses:P24835
Q9BUB5	Papillomaviruses:P24835
Q9BUB7	Papillomaviruses:P24835
Q9BUK6	Papillomaviruses:P24835
Q9BVL4	Papillomaviruses:P24835
Q9BY07	Papillomaviruses:P24835
Q9BZF9	Papillomaviruses:P24830
Q9GZP9	Papillomaviruses:P24830
Q9GZR2	Papillomaviruses:P24835
Q9H5V8	Papillomaviruses:P24830
Q9HB07	Papillomaviruses:P24835
Q9NPD8	Papillomaviruses:P24830
Q9NQ31	Papillomaviruses:P24835
Q9NRL2	Papillomaviruses:P24830
Q9UHD8	Papillomaviruses:P24835
Q9Y3A4	Papillomaviruses:P24835
Q9Y3B6	Papillomaviruses:P24835
Q9Y570	Papillomaviruses:P24830
Q9Y5M8	Papillomaviruses:P24835
Q9Y5Y6	Papillomaviruses:P24835
U3KQ56	Papillomaviruses:P24835
X6R8A1	Papillomaviruses:P24835
X6R8F3	Papillomaviruses:P24830
X6RAY8	Papillomaviruses:P24835
P20226	refseq:NP_040313
P21675	refseq:NP_040313
P28749	refseq:NP_040311
Q07955	refseq:NP_040313
Q86VP1	refseq:NP_040313
P11021	refseq:NP_040313
Q92905	refseq:NP_040313
P04637	refseq:NP_040313
Q15365	refseq:NP_040313
O60885	refseq:NP_040313
P06400	refseq:NP_040311
Q9BXK5	refseq:NP_040313
P20248	refseq:NP_040311
O95251	refseq:NP_040313
Q01094	refseq:NP_040311
Q09472	refseq:NP_040313
Q14289	refseq:NP_040313
Q9Y2S7	refseq:NP_040313
Q9UJY5	refseq:NP_040313
Q8WWY3	refseq:NP_040313
Q13227	refseq:NP_040313
P22736	refseq:NP_040313
P04792	refseq:NP_040313
P55209	refseq:NP_040313
Q07021	refseq:NP_040313
Q14790	refseq:NP_040313
Q92831	refseq:NP_040313
Q92831	refseq:NP_040311
O94842	refseq:NP_040313
A0A087WUS5	refseq:NP_040311
A0A0C4DGQ5	refseq:NP_040313
A0A0D9SGF6	refseq:NP_040313
F8WF69	refseq:NP_040313
G3V5T9	refseq:NP_040311
H3BLV9	refseq:NP_040314
J3KR72	refseq:NP_040313
O00308	refseq:NP_040313
O14735	refseq:NP_040313
O15305	refseq:NP_040313
O43791	refseq:NP_040313
O95235	refseq:NP_040313
P02538	refseq:NP_040313
P16144	refseq:NP_040313
P17676	refseq:NP_040313
P21980	refseq:NP_040311
P24864	refseq:NP_040311
P26641	refseq:NP_040313
P53365	refseq:NP_040313
Q07817	refseq:NP_040313
Q13287	refseq:NP_040313
Q14533	refseq:NP_040313
Q5VT06	refseq:NP_040313
Q66K74	refseq:NP_040313
Q8IWI9	refseq:NP_040313
Q8N1B4	refseq:NP_040313
Q8N2W9	refseq:NP_040313
Q8NEZ5	refseq:NP_040313
Q8WWH5	refseq:NP_040313
Q96JC1	refseq:NP_040313
Q96KG9	refseq:NP_040313
Q96QE5	refseq:NP_040313
Q96QF0	refseq:NP_040313
Q96T23	refseq:NP_040313
Q9BVW5	refseq:NP_040313
Q9GZP9	refseq:NP_040313
Q9NRL2	refseq:NP_040313
Q9UHB9	refseq:NP_040313
Q9UHY1	refseq:NP_040313
Q9Y244	refseq:NP_040313
Q9Y570	refseq:NP_040313
P20226	Papillomaviruses:P06790
P20226	Papillomaviruses:P06463
P16070	Papillomaviruses:P06792
Q04637	Papillomaviruses:P06788
P21675	Papillomaviruses:P06790
P28749	Papillomaviruses:P06788
Q07955	Papillomaviruses:P06790
Q12824-1	Papillomaviruses:P06789
P51665	Papillomaviruses:P06463
Q96QK1	Papillomaviruses:P06463
Q92973	Papillomaviruses:P06792
Q92973	Papillomaviruses:P06794
P30153	Papillomaviruses:P06463
Q15369	Papillomaviruses:P06788
P60709	Papillomaviruses:P06463
P02792	Papillomaviruses:P06463
P68104	Papillomaviruses:P06788
P05556	Papillomaviruses:P06792
Q14203	Papillomaviruses:P06463
P04406	Papillomaviruses:P06788
P04406	Papillomaviruses:P06463
P68400	Papillomaviruses:P06788
Q86VP1	Papillomaviruses:P06790
Q13813	Papillomaviruses:P06790
P11021	Papillomaviruses:P06790
P11021	Papillomaviruses:P06463
Q12959	Papillomaviruses:P06463
Q12959-1	Papillomaviruses:P06463
Q12959	Papillomaviruses:Q9QNP8
Q12959	Papillomaviruses:Q76Z97
Q8N720	Papillomaviruses:P06463
Q92905	Papillomaviruses:P06790
P02795	Papillomaviruses:P06788
Q03518	Papillomaviruses:P06792
