"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3880","30","97","3.85433906","4.48E-6","0.25944785","0.5","4","6","false","Q9NRP0","51.75","4","0","0","0.68285122","false","0","Q9NRP0","15388","0.29768786"
"3881","45","136","3.66051347","1.812E-5","0.27318572","0.30555556","9","6","false","P0C6T2","29.55555556","9","0","0","0.70438739","false","0","P0C6T2","36208","0.14155983"
"3882","30","98","3.7271377","9.43E-6","0.2683024","0.33333333","3","6","false","P61165","85.0","3","0","0","0.6969847","false","0","P61165","14520","0.37797619"
"3883","5","27","4.02811373","0.0","0.24825516","0.0","1","7","false","Q8N6L1","53.0","1","0","0","0.66354292","false","0","Q8N6L1","0","0.0"
"3884","75","390","3.42467643","5.999E-5","0.29199839","0.0","9","6","false","P49427","153.0","9","0","0","0.73059151","false","0","P49427","432786","0.14657666"
"3885","60","233","3.67154679","1.608E-5","0.27236477","0.2","5","6","false","Q9H3F6","133.6","5","0","0","0.70316147","false","0","Q9H3F6","65390","0.21623377"
"3886","95","664","3.02821982","0.00164551","0.33022702","0.02322206","53","6","false","P46977","26.28301887","53","0","0","0.77464224","false","0","P46977","5250928","0.03914091"
"3887","75","402","3.21430087","1.3598E-4","0.31110964","0.03676471","17","6","false","Q56NI9","58.88235294","17","0","0","0.75396657","false","0","Q56NI9","255714","0.07837859"
"3888","0","11","4.4005941","0.0","0.22724204","0.0","1","7","false","Q9NX08","21.0","1","0","0","0.62215621","false","0","Q9NX08","0","0.0"
"3889","15","51","4.0122003","0.0","0.2492398","1.0","2","7","false","Q15329","54.0","2","0","0","0.66531108","false","0","Q15329","0","0.55102041"
"3890","45","128","3.78760874","1.494E-5","0.26401882","0.5","4","6","false","Q6MZP7","76.75","4","0","0","0.6902657","false","0","Q6MZP7","28368","0.28759398"
"3891","5","25","4.19764481","0.0","0.23822883","1.0","2","7","false","O15164","24.5","2","0","0","0.64470613","false","0","O15164","0","0.56976744"
"3892","45","128","3.78760874","1.494E-5","0.26401882","0.5","4","6","false","Q5TKA1","76.75","4","0","0","0.6902657","false","0","Q5TKA1","28368","0.28759398"
"3893","25","78","3.95586675","0.0","0.2527891","1.0","3","7","false","Q96GY3","58.0","3","0","0","0.67157036","false","0","Q96GY3","0","0.42028986"
"3894","30","94","3.57861235","1.5856E-4","0.27943792","0.06666667","6","6","false","Q8N4N3","28.16666667","6","0","0","0.71348752","false","0","Q8N4N3","191480","0.17741935"
"3895","5","22","4.05060471","0.0","0.24687672","0.0","1","6","false","P0C0S8","43.0","1","0","0","0.66104392","false","0","P0C0S8","0","0.0"
"3896","5","22","4.05060471","0.0","0.24687672","0.0","1","6","false","P10916","43.0","1","0","0","0.66104392","false","0","P10916","0","0.0"
"3897","55","200","3.70761723","2.985E-5","0.26971501","0.0","3","6","false","C9JKQ0","156.33333333","3","0","0","0.69915364","false","0","C9JKQ0","30798","0.33768116"
"3898","45","143","3.74856779","5.17E-6","0.26676855","0.0","3","6","false","P10412","109.66666667","3","0","0","0.69460358","false","0","P10412","20076","0.35863586"
"3899","5","22","4.05060471","0.0","0.24687672","0.0","1","6","false","Q9NWY4","43.0","1","0","0","0.66104392","false","0","Q9NWY4","0","0.0"
"3900","30","97","3.82611924","3.08E-6","0.26136143","0.0","2","6","false","Q9UGN5","113.5","2","0","0","0.68598675","false","0","Q9UGN5","7860","0.51136364"
"3901","5","22","4.05060471","0.0","0.24687672","0.0","1","6","false","Q04446","43.0","1","0","0","0.66104392","false","0","Q04446","0","0.0"
"3902","5","22","4.05060471","0.0","0.24687672","0.0","1","6","false","Q8N371","43.0","1","0","0","0.66104392","false","0","Q8N371","0","0.0"
"3903","40","116","3.79811161","1.026E-5","0.26328873","0.0","2","6","false","Q8WXE1","133.0","2","0","0","0.68909871","false","0","Q8WXE1","9770","0.5"
"3904","65","259","3.40070019","3.9355E-4","0.29405709","0.0952381","21","6","false","Q14188","15.95238095","21","0","0","0.73325553","false","0","Q14188","454880","0.06829574"
