"SUID","_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"147","95","629","2.68230144","0.01298193","0.37281418","0.0300418","88","5","false","P62805","101.90909091","88","0","0","0.78971232","false","0","P62805","25222394","0.02706248"
"149","85","417","3.29180738","3.4818E-4","0.30378448","0.08333333","9","5","false","Q9Y5Q3","139.77777778","9","0","0","0.71352408","false","0","Q9Y5Q3","417680","0.12287928"
"153","35","78","3.90781739","1.5602E-4","0.25589732","0.0","11","6","false","Q9Y282","9.90909091","11","0","0","0.63652283","false","0","Q9Y282","168814","0.10864745"
"155","70","256","3.48918074","5.8669E-4","0.28660023","0.0","6","6","false","P04233","90.0","6","0","0","0.68885241","false","0","P04233","874178","0.18619247"
"157","70","242","3.53846154","1.7497E-4","0.2826087","0.0","6","6","false","Q53TN4","90.16666667","6","0","0","0.68269231","false","0","Q53TN4","303804","0.19640235"
"160","0","5","5.24740463","0.0","0.1905704","0.0","1","7","false","Q8NC24","8.0","1","0","0","0.46907442","false","0","Q8NC24","0","0.0"
"163","5","19","4.08818011","7.17E-6","0.24460762","0.0","2","6","false","Q13323","17.5","2","0","0","0.61397749","false","0","Q13323","3736","0.5"
"165","90","417","3.19099437","0.00108769","0.31338194","0.02631579","20","5","false","Q9P0L0","87.0","20","0","0","0.7261257","false","0","Q9P0L0","1814906","0.05976454"
"169","85","417","3.36135084","1.045E-5","0.29749944","0.33333333","3","5","false","Q99735","329.33333333","3","0","0","0.70483114","false","0","Q99735","15714","0.33847737"
"171","75","297","3.37923702","2.0832E-4","0.29592479","0.06666667","6","6","false","Q9BV68","202.16666667","6","0","0","0.70259537","false","0","Q9BV68","324590","0.20049751"
"173","95","696","2.39799875","0.15294607","0.4170144","0.00425979","943","4","false","P05412","14.27465536","943","0","0","0.82525016","false","0","P05412","231048702","0.00386444"
"175","80","364","3.20675422","5.7207E-4","0.3118418","0.16666667","9","5","false","P10398","223.55555556","9","0","0","0.72415572","false","0","P10398","1075994","0.13216236"
"177","40","98","3.67379612","7.142E-5","0.27219801","0.0","5","6","false","Q7L190","44.6","5","0","0","0.66577548","false","0","Q7L190","68788","0.20373832"
"179","95","587","3.20075047","0.0077762","0.31242673","0.00163934","61","6","false","Q92692","7.96721311","61","0","0","0.72490619","false","0","Q92692","6649598","0.02473397"
"181","55","147","3.65378361","2.4021E-4","0.27368889","0.0","8","6","false","Q12805","52.875","8","0","0","0.66827705","false","0","Q12805","210196","0.13404393"
"183","70","271","3.42851782","1.2782E-4","0.29167123","0.0","9","5","false","P02647","62.33333333","9","0","0","0.69643527","false","0","P02647","198962","0.12831241"
"185","95","645","3.11081926","0.01406492","0.32145873","6.435E-4","112","5","false","P01023","6.16071429","112","0","0","0.73614759","false","0","P01023","19262704","0.01538137"
"187","80","335","3.30844278","7.7366E-4","0.302257","0.0","13","6","false","O00165","73.61538462","13","0","0","0.71144465","false","0","O00165","1176546","0.09134011"
"189","45","126","3.66716698","8.765E-5","0.27269006","0.0","4","6","false","P07093","75.75","4","0","0","0.66660413","false","0","P07093","68100","0.25253378"
"191","95","538","2.95397123","0.00106713","0.33852733","0.10606061","33","5","false","Q12873","173.72727273","33","0","0","0.7557536","false","0","Q12873","4284998","0.06698257"
"193","5","23","4.05353346","1.131E-5","0.24669835","0.0","3","6","false","P01857","11.66666667","3","0","0","0.61830832","false","0","P01857","9340","0.34408602"
"195","95","605","3.03627267","0.0097126","0.32935118","0.00385965","76","6","false","Q15155","14.78947368","76","0","0","0.74546592","false","0","Q15155","6425602","0.01679529"
"197","80","353","3.3478424","8.7125E-4","0.29869984","0.05454545","11","5","false","Q9NZ01","120.27272727","11","0","0","0.7065197","false","0","Q9NZ01","1602122","0.1115818"
"199","5","19","4.19837398","2.51E-6","0.23818745","0.0","3","7","false","Q13651","9.33333333","3","0","0","0.60020325","false","0","Q13651","4004","0.34722222"
"201","95","602","2.92345216","0.01220339","0.34206135","0.00469484","72","5","false","P31943","47.84722222","72","0","0","0.75956848","false","0","P31943","14662730","0.02182908"
"203","90","467","3.01250782","9.0365E-4","0.33194935","0.05882353","18","5","false","P49327","178.83333333","18","0","0","0.74843652","false","0","P49327","2482296","0.08334631"
"205","65","211","3.49180738","4.3535E-4","0.28638464","0.0","12","5","false","Q86TM6","41.83333333","12","0","0","0.68852408","false","0","Q86TM6","495790","0.08781362"
"207","90","417","3.12670419","4.9385E-4","0.31982559","0.075","16","5","false","P49368","147.375","16","0","0","0.73416198","false","0","P49368","1414372","0.0861437"
