IDa	IDb
P60866	P05386
P60866	Q92901
P60866	P15880
P60866	P62280
P60866	P40429
P60866	P62913
P60866	P62241
P60866	P61247
P60866	H7C2U2
P60866	P18124
P60866	P62424
P60866	P23396
P60866	P62888
P60866	P62917
P60866	P32969
P60866	P62263
P60866	P46776
P60866	P26373
P60866	P08865
P60866	Q9BYD6
P60866	P46781
P60866	P62081
P60866	P63173
P60866	P36578
P60866	P61313
P60866	P05387
P60866	P42677
P60866	A0A384ME17
P60866	P18077
P60866	P62266
P60866	P50914
P60866	Q9Y3A4
P60866	P62854
P60866	P61513
P60866	P30050
P60866	P62701
P60866	P62750
P60866	P62906
P60866	A0A0A0MRF8
P60866	P62987
P60866	P62269
O75534	Q5SRE5
O60673	P50914
Q9NP79	P09622
Q9NP79	P27361
Q9NP79	Q5T6H7
Q9NP79	P14868
Q96S59	Q7L5Y9
Q96S59	Q9NWU2
Q8N6R0	P42285
Q8N6R0	Q01813
Q8N6R0	Q9Y237
Q8N6R0	Q8IV38
Q8N6R0	O75937
Q8N6R0	O60506
Q8N6R0	O43684
Q8N6R0	Q92922
Q8N6R0	P17706
O43670	O43684
P31930	P49257
P31930	Q10713
Q15021	Q9BPX3
Q15021	Q9NTJ3
Q15021	Q15003
Q15021	O95347
Q15021	Q86YW9
Q06187	Q5T2T1
A0A024RAC6	Q13111
O95372	P14618
O95372	Q13126
O95372	Q14232
O95372	P35270
O95372	Q9Y3C8
O95372	Q53H82
O95372	P78417
O95372	P29401
O95372	P23528
O95372	P07741
Q32Q12	P30520
Q32Q12	P04181
Q32Q12	O75083
Q32Q12	P06733
Q32Q12	P15121
Q32Q12	P62942
Q32Q12	P23526
Q32Q12	P13929
Q32Q12	P09104
Q32Q12	P07195
Q32Q12	P14550
Q32Q12	P68106
Q32Q12	P17174
Q32Q12	P60981
Q32Q12	P30044
Q32Q12	P00338
Q32Q12	P00441
Q32Q12	Q01995
Q32Q12	P37802
Q32Q12	P29401
Q32Q12	Q9Y281
Q32Q12	P07864
Q32Q12	P31948
Q32Q12	P49773
Q32Q12	P23528
Q32Q12	P26885
Q32Q12	Q6NVY1
Q32Q12	Q13404
Q9Y5J1	O00567
Q9Y5J1	Q9Y4C8
Q9Y5J1	O00566
P26599	P11021
P26599	Q99714
P26599	P24752
P26599	Q9NR31
P26599	P35637
P26599	Q9Y5L4
P26599	Q92841
P26599	P46060
P26599	P61019
P26599	P14866
P26599	P04792
P26599	P06576
P26599	P38646
P26599	P27824
P26599	P08559
P26599	P51946
P26599	P09651
P26599	Q14103
P26599	Q86SJ2
P26599	O14757
P26599	P25705
P26599	O94826
P26599	P61978
P26599	Q9UJZ1
P26599	P36542
P26599	P08195
P26599	P11177
P26599	Q15365
P26599	P51991
P26599	A0A384ME17
P26599	Q99623
O00443	P05388
O00443	P09496
Q9NQW6	Q14157
Q9NQW6	Q9H900
B9EGQ5	Q9H9B1
Q9Y3P9	Q13416
P53041	Q9UNW1
P53041	Q9BSC4
P53041	Q8WXF1
P53041	P33316
P53041	Q6P1N9
P07992	P24752
P07992	Q92547
P07992	Q8WUR7
P07992	Q92889
P07992	Q6IBS0
Q8N806	Q15084
G3V5C6	P35813
G3V5C6	O75688
Q9NZN3	O15400
P43686	P25789
P43686	O60884
P43686	O95163
P43686	P27708
P43686	P62195
P43686	Q16401
P43686	P48556
P43686	P62333
P43686	P25788
P43686	O95433
P43686	P62191
P43686	P28074
P43686	P60900
P43686	O14818
P43686	O75832
P43686	P51665
P43686	P25787
P43686	ENSG00000108294
P43686	O43242
P43686	Q8IY81
P43686	O00231
P43686	O00233
P43686	P40937
P43686	O00487
P43686	P54727
P43686	P49721
P43686	P25786
P43686	Q16186
P43686	Q99436
P43686	Q9NZJ7
P43686	P28072
P43686	P28066
P43686	Q8TAA3
P43686	P55036
P43686	P28070
P43686	P35998
P43686	Q15008
P43686	Q0PNE2
P43686	P17980
P43686	Q99460
P43686	Q13200
P43686	Q8NI22
P43686	Q9UNM6
P43686	P36776
P43686	O00232
P43686	Q06210
P43686	P28062
O95394	P36871
O95394	Q16222
O95394	Q04760
O95394	Q08623
O95394	Q9UHY7
O95394	Q53H82
O95394	Q15124
Q9NW08	Q9NVU0
Q9NW08	O95602
Q9NW08	P19388
Q9NW08	Q9Y535
Q9NW08	O15318
Q9NW08	Q9H9Y6
Q9NW08	Q9H1D9
Q9NW08	Q9ULX3
Q9NW08	O14802
Q9NW08	O60264
Q9NW08	P62888
Q9NW08	P68104
Q9NW08	Q9NRX2
Q9NW08	ENSG00000161980
Q9NW08	P52434
Q9NW08	Q2NL82
Q9NW08	P05423
Q9NW08	O15160
Q9NW08	Q15050
Q9NW08	A0A6Q8PGB0
Q9NW08	Q9BUI4
Q9NW08	P0DPB6
Q9NW08	Q96P70
Q9NW08	O75575
Q96FC9	Q8WU40
Q9NRV9	Q14019
Q9NRV9	O60493
Q9NRV9	Q15365
Q9NRV9	P68036
Q9NRV9	P06703
Q9Y6A5	P49959
Q14181	P09884
Q14181	P49005
Q14181	Q96KG9
Q14181	P49642
P07384	P42285
P07384	Q16706
P07384	P38606
P07384	O43390
P07384	O60506
P07384	Q9BY44
P07384	P78417
P07384	Q86X76
P40925	P36871
P40925	P55809
P40925	P31937
P40925	P07195
P40925	P04179
P40925	P35270
P40925	P17174
P40925	P10768
P40925	Q8NBX0
P40925	O00764
P40925	P07864
P40925	Q6ZMR3
P40925	P47985
P40925	Q96G03
P40925	Q9BYZ2
P40925	P35754
P43243	P67809
P43243	P29692
P43243	P08621
P43243	P84103
P43243	P53999
P43243	P09234
P43243	P20290
P43243	P18124
P43243	P25705
P43243	Q00839
P43243	Q9Y265
P43243	P27797
P43243	Q9UHX1
P43243	Q12874
Q8IVD9	Q13564
ENSG00000017373	Q14008
