IDa	IDb
Q7Z5B4	P42695
Q7Z5B4	Q9UPT9
Q7Z5B4	P04035
Q7Z5B4	Q99623
Q7Z5B4	Q8TAD4
Q7Z5B4	Q9NWS8
Q7Z5B4	Q6NXT6
Q7Z5B4	Q6IBW4
Q7Z5B4	Q9BVT8
Q7Z5B4	P50851
Q7Z5B4	Q6NXT4
Q7Z5B4	O75110
P25106	P06576
P25106	P25705
P25106	P30049
P25106	P48047
Q9BXA7	P11142
Q9BXA7	Q9UPN4
Q9BXA7	Q9NQX3
Q9BXA7	B4DLE8
Q9BXA7	Q14C86
Q9BXA7	Q9Y343
P62068	O60346
P62068	Q8TBZ3
P62068	Q09019
P62068	Q8TAF3
P62068	Q9UNH7
P62068	O60749
P62068	Q6ZVD8
Q9NZR4	P19784
Q9NZR4	P68400
Q9NZR4	P67870
Q9NZR4	O75317
Q9NZR4	Q16777
Q9P0U1	P04746
Q9P0U1	Q969M1
P56385	Q9UII2
P56385	P36542
P56385	P06576
P56385	O75947
P56385	P30049
P56385	P25705
P56385	P24539
P56385	Q9NX36
P56385	P18859
P56385	O60779
P56385	O75964
P56385	P48047
P56385	Q96G23
P56385	P03928
P02795	Q14651
P02795	Q96BW5
P02795	Q9Y5G8
P56277	P55789
UNKNOWN	Q5JRX3
UNKNOWN	Q9P107
UNKNOWN	Q9HCK5
O15239	O75438
O15239	P19404
O15239	P56181
O15239	P03905
O15239	O95182
O15239	Q9Y6M9
O15239	O95167
O15239	O95169
O15239	O43181
O15239	Q16795
O15239	Q9UI09
O15239	P49821
O15239	O43676
O15239	O95298
O15239	P03915
O15239	O75380
O15239	O95139
O15239	O43674
Q9NPE3	Q96HR8
Q9NPE3	P67809
Q9NPE3	Q8WV16
Q9NPE3	O60832
Q9NPE3	Q9BQG0
Q9NPE3	Q9BUR4
Q9NPE3	Q07955
Q9NPE3	P39019
Q9NPE3	P52294
Q9NPE3	Q9NY12
Q9NPE3	Q6PI26
Q9NPE3	Q13601
Q9NPE3	P08621
Q9NPE3	Q9UBG3
P54368	P61981
P54368	P62736
P54368	P80188
P62875	P62487
P62875	Q9Y535
P62875	Q9BWH6
P62875	Q9GZS1
P62875	Q9H9Y6
P62875	P50452
P62875	O75635
P62875	O95602
P62875	O14802
P62875	Q02413
P62875	Q8IXW5
P62875	P42357
P62875	Q9NVU0
P62875	Q9NW08
P62875	P24928
P62875	P0CAP2
P62875	Q9BUI4
P62875	O15514
P62875	Q9NQG5
P62875	Q96P16
P62875	Q7KZ85
P62875	Q96P63
P62875	Q5VT52
P62875	P30876
P62875	O75575
P62875	A6NED2
P62875	P05423
P62875	Q9NYV6
P62875	O94762
P62875	P52434
P62875	P05089
P62875	Q9HCN4
P62875	Q3B726
P62875	P52435
P62875	Q08188
P62875	O15160
P62875	Q8WVV4
P62875	P36954
P62875	P19388
P62875	O15318
P62875	Q9H1D9
P62875	Q13835
P62875	O15446
P62875	Q9UI42
