Human Herpes
O95153 Herpes_target
O95167 Herpes_target
O95169 Herpes_target
O95219 Herpes_target
O95249 Herpes_target
O95260 Herpes_target
O95302 Herpes_target
O95478 Herpes_target
O95721 Herpes_target
O95900 Herpes_target
P00395 Herpes_target
P01891 Herpes_target
P04066 Herpes_target
P04818 Herpes_target
P05026 Herpes_target
P05026 Herpes_target
P06280 Herpes_target
P07093 Herpes_target
P07478 Herpes_target
P08559 Herpes_target
P09669 Herpes_target
P0C0L4 Herpes_target
P0C0P6 Herpes_target
P0CAP2 Herpes_target
P10075 Herpes_target
P10176 Herpes_target
P10515 Herpes_target
P10606 Herpes_target
P10619 Herpes_target
P10619 Herpes_target
P11233 Herpes_target
P12955 Herpes_target
P13798 Herpes_target
P15954 Herpes_target
P16278 Herpes_target
P16278 Herpes_target
P16278 Herpes_target
P18887 Herpes_target
P19404 Herpes_target
P20073 Herpes_target
P20719 Herpes_target
P22234 Herpes_target
P22392 Herpes_target
P27986 Herpes_target
P28370 Herpes_target
P28370 Herpes_target
P30566 Herpes_target
P31930 Herpes_target
P33316 Herpes_target
P35221 Herpes_target
P35244 Herpes_target
P35610 Herpes_target
P36897 Herpes_target
P36957 Herpes_target
P36969 Herpes_target
P37198 Herpes_target
P38606 Herpes_target
P40189 Herpes_target
P40189 Herpes_target
P40855 Herpes_target
P42568 Herpes_target
P42680 Herpes_target
P42773 Herpes_target
P43378 Herpes_target
P46108 Herpes_target
P46527 Herpes_target
P49821 Herpes_target
P50897 Herpes_target
P51149 Herpes_target
P51553 Herpes_target
P51553 Herpes_target
P51812 Herpes_target
P53701 Herpes_target
P53801 Herpes_target
P56277 Herpes_target
P56537 Herpes_target
P56545 Herpes_target
P57772 Herpes_target
P58546 Herpes_target
P61421 Herpes_target
P62140 Herpes_target
P62310 Herpes_target
P62699 Herpes_target
P78332 Herpes_target
P78356 Herpes_target
P79522 Herpes_target
P82909 Herpes_target
P82932 Herpes_target
P83111 Herpes_target
P85037 Herpes_target
P98173 Herpes_target
Q00526 Herpes_target
Q00534 Herpes_target
Q00535 Herpes_target
Q01167 Herpes_target
Q01433 Herpes_target
Q01831 Herpes_target
Q02218 Herpes_target
Q02952 Herpes_target
Q04721 Herpes_target
Q05469 Herpes_target
Q06124 Herpes_target
Q06190 Herpes_target
Q08AD1 Herpes_target
Q09328 Herpes_target
Q10471 Herpes_target
Q12789 Herpes_target
Q12800 Herpes_target
Q12899 Herpes_target
Q12899 Herpes_target
Q13308 Herpes_target
Q13363 Herpes_target
Q13370 Herpes_target
