IDa	IDb
O43683	Q5VT52
O43683	Q9HCL2
O43683	Q6P1K2
O43683	Q6YN16
O43683	Q8N490
O43683	Q8N4N3
O43683	Q8NG31
O43683	Q8WYB5
O43683	Q96AE4
O43683	Q96JN0
O43683	Q9GZU8
O43683	Q9H1I8
O43683	Q9H583
O43683	Q9P2X3
O43683	Q9UQN3
A5YKK6	A5YKK6
A5YKK6	Q9UFF9
A5YKK6	Q9P2D0
A5YKK6	Q8IY67
A5YKK6	Q96LI5
A5YKK6	Q14192
A5YKK6	O00560
A5YKK6	O15504
A5YKK6	O75175
A5YKK6	P17480
A5YKK6	P42677
A5YKK6	P46100
A5YKK6	P47755
A5YKK6	P47756
A5YKK6	P50616
A5YKK6	P52907
A5YKK6	Q14106
A5YKK6	Q14201
A5YKK6	Q5W0B1
A5YKK6	Q6P9B9
A5YKK6	Q7KZF4
A5YKK6	Q8NE71
A5YKK6	Q92600
A5YKK6	Q9BTU6
A5YKK6	Q9C0C2
A5YKK6	Q9H9A5
A5YKK6	Q9HC44
A5YKK6	Q9NWT8
A5YKK6	Q9NZN8
A5YKK6	Q9UHB7
A5YKK6	Q9UIV1
A5YKK6	Q9UKZ1
A5YKK6	Q9ULM6
Q9UKF6	O15460
Q9UKF6	O95639
Q9UKF6	P07237
Q9UKF6	P13674
Q9UKF6	P27448
Q9UKF6	P33240
Q9UKF6	Q05048
Q9UKF6	Q10570
Q9UKF6	Q12996
Q9UKF6	Q15345
Q9UKF6	Q32P28
Q9UKF6	Q6P5Z2
Q9UKF6	Q6UN15
Q9UKF6	Q7Z6J8
Q9UKF6	Q92797
Q9UKF6	Q9C0J8
Q9UKF6	Q9H0L4
Q9UKF6	Q9P2I0
Q9UKF6	Q9UKF6
Q8NHZ8	O60683
Q8NHZ8	P60006
Q8NHZ8	P30260
Q8NHZ8	O43684
Q8NHZ8	O60566
Q8NHZ8	P10109
Q8NHZ8	P42858
Q8NHZ8	P51955
Q8NHZ8	Q12834
Q8NHZ8	Q13042
Q8NHZ8	Q13423
Q8NHZ8	Q3T906
Q8NHZ8	Q6UB99
Q8NHZ8	Q8IWV8
Q8NHZ8	Q8N726
Q8NHZ8	Q8NHZ8
Q8NHZ8	Q8NI77
Q8NHZ8	Q96DE5
Q8NHZ8	Q96E11
Q8NHZ8	Q9BS18
Q8NHZ8	Q9BYM8
Q8NHZ8	Q9H1A4
Q8NHZ8	Q9HCM4
Q8NHZ8	Q9P2B7
Q8NHZ8	Q9UJJ9
Q8NHZ8	Q9UJX2
Q8NHZ8	Q9UJX3
Q8NHZ8	Q9UJX4
Q8NHZ8	Q9UJX5
Q8NHZ8	Q9UJX6
Q8NHZ8	Q9UKT4
Q8NHZ8	Q9UM11
Q8NHZ8	Q9UM13
Q8NHZ8	Q9UPZ3
P61086	P20073
P61086	Q6ZMK1
P61086	P11441
P61086	P22314
P61086	P61086
P61086	Q63HN8
Q9UNS1	A5PLN9
Q9UNS1	Q8NBI5
Q9UNS1	Q8N2G8
Q9UNS1	Q9HB58
Q9UNS1	Q96QT4
Q9UNS1	P09874
Q9UNS1	P25205
Q9UNS1	P33993
Q9UNS1	P49736
Q9UNS1	P98175
Q9UNS1	Q03519
Q9UNS1	Q13813
Q9UNS1	Q14566
Q9UNS1	Q7L590
Q9UNS1	Q96IX5
Q9UNS1	Q9BRT9
Q9UNS1	Q9BVW5
Q9UNS1	Q9HAW4
Q9UNS1	Q9HCM4
Q9UNS1	Q9UDT6
Q9UNS1	Q9UJY1
Q9UNS1	Q9UNS1
Q9UNS1	Q9UQN3
Q6PD62	O94842
Q6PD62	Q15370
Q6PD62	P30876
Q6PD62	Q15369
Q6PD62	P78346
Q6PD62	O95359
Q6PD62	P02751
Q6PD62	Q8WYH8
Q6PD62	Q14738
Q6PD62	Q14119
Q6PD62	O00267
Q6PD62	O00472
Q6PD62	O15514
Q6PD62	O43432
Q6PD62	O43488
Q6PD62	O60563
