"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Alias","ENTREZID","GO","Path","Evidance","PMID","UNIPROT","ENSEMBL","Symbol"
"ACVR2A",616.96300098672,0.52128745370873,0.239453555161262,2.17698773926186,0.029481482249035,0.0725609562175066,NA,"92",NA,NA,NA,NA,"P27037","ENSG00000121989","ACVR2A"
"TAS1R3",30.3914981415258,1.15210986021967,0.529230148518831,2.17695432401972,0.0294839755795136,0.0725609562175066,NA,"83756",NA,NA,NA,NA,"Q7RTX0","ENSG00000169962","TAS1R3"
"GLCE",1228.78125486151,0.567104553942367,0.260506561174216,2.17693002197788,0.0294857890282447,0.0725609562175066,NA,"26035",NA,NA,NA,NA,"O94923","ENSG00000138604","GLCE"
"MTIF2",1410.17753112319,-0.249372473920819,0.11455271767487,-2.17692324531839,0.02948629472815,0.0725609562175066,"MTIF2","4528",NA,NA,NA,NA,NA,"ENSG00000085760","MTIF2"
"SGMS2",724.238426331224,-0.69184599115987,0.317849652268381,-2.1766454240941,0.0295070332196898,0.0726025281801125,NA,"166929",NA,NA,NA,NA,NA,"ENSG00000164023","SGMS2"
"RIMKLB",835.685241605144,-0.46330311719271,0.212865297481022,-2.17650844301672,0.0295172630487622,0.0726182359461534,NA,"57494",NA,NA,NA,NA,"Q9ULI2","ENSG00000166532","RIMKLB"
"DEDD2",1359.84837913592,-0.411188802477479,0.188959863705234,-2.17606424144605,0.0295504572767094,0.0726886552523256,NA,"162989",NA,NA,NA,NA,"Q8WXF8","ENSG00000160570","DEDD2"
"SPRR1B",25408.7470192575,-1.3957469153751,0.641421207946187,-2.17602239851757,0.0295535857627425,0.0726886552523256,NA,"6699",NA,NA,NA,NA,"P22528","ENSG00000169469","SPRR1B"
"TAF5",332.815243899383,0.267611040635997,0.122991331504208,2.17585286184857,0.0295662644904607,0.0727044058232756,NA,"6877",NA,"03022",NA,NA,"Q15542","ENSG00000148835","TAF5"
"EYA4",64.4406224837953,-1.73639723207068,0.798037623190346,-2.17583379732026,0.0295676905156728,0.0727044058232756,NA,"2070",NA,NA,NA,NA,NA,"ENSG00000112319","EYA4"
"FAHD2B",167.65059626937,-0.635072638314345,0.291900512973157,-2.17564755829239,0.0295816242920666,0.0727291965993232,"FAHD2B","151313",NA,NA,NA,NA,NA,"ENSG00000144199","FAHD2B"
"SPATS2L",3767.10161903977,-0.378268531835559,0.173881717117594,-2.17543591187186,0.0295974658191478,0.0727586706935489,NA,"26010",NA,NA,NA,NA,NA,"ENSG00000196141","SPATS2L"
"EHMT2",2098.30130176894,0.419872925283272,0.19301459070806,2.17534292999819,0.0296044277276706,0.0727648706181148,NA,"10919",NA,"00310",NA,NA,NA,NA,"EHMT2"
"FAM70A",140.685602161777,1.00989749500513,0.464256802072664,2.17529929663167,0.0296076952101989,0.0727648706181148,NA,NA,NA,NA,NA,NA,NA,NA,"FAM70A"
"AGTRAP",1568.61750290394,-0.515588549993433,0.237030659627422,-2.17519771831991,0.0296153030986245,0.0727652405888543,NA,"57085",NA,NA,NA,NA,"Q6RW13","ENSG00000177674","AGTRAP"
"SDSL",144.330021787007,-0.686413305877562,0.315564122459812,-2.17519438054933,0.0296155531154192,0.0727652405888543,NA,"113675",NA,NA,NA,NA,NA,"ENSG00000139410","SDSL"
"RBP7",130.761897772931,0.870454326616556,0.400223393523238,2.1749211582906,0.029636025074648,0.0728060662840883,NA,"116362",NA,NA,NA,NA,"Q96R05","ENSG00000162444","RBP7"
"FBXO31",923.351010777189,-0.259648846836354,0.119393633580851,-2.17472941436634,0.0296503993028368,0.0728319031658859,NA,"79791",NA,NA,NA,NA,NA,"ENSG00000103264","FBXO31"
"NES",1659.65747498998,-1.06265209461134,0.488683820305685,-2.17451867742751,0.029666204272149,0.0728610874775789,NA,"10763",NA,NA,NA,NA,NA,"ENSG00000132688","NES"
"LOC649395",0.930648275739907,-2.6682022436903,1.22705972719833,-2.17446810823336,0.029669997967117,0.0728610874775789,NA,NA,NA,NA,NA,NA,NA,NA,"LOC649395"
"CHFR",927.507376693562,0.516638404767649,0.237648764161542,2.17395788524473,0.0297082981807078,0.0729456549087289,NA,"55743",NA,NA,NA,NA,"Q96EP1","ENSG00000072609","CHFR"
"MAFK",1368.62177771138,-0.5704870061322,0.26242911713896,-2.17387084311273,0.0297148362969942,0.07295222194251,NA,"7975",NA,NA,NA,NA,NA,"ENSG00000198517","MAFK"
"RFX1",617.221782821904,0.363995604456678,0.167445484777017,2.17381558506282,0.0297189876135144,0.0729529282525194,NA,"5989",NA,NA,NA,NA,"P22670",NA,"RFX1"
"TAS1R1",9.34813044888099,-1.2913533860505,0.594085101629845,-2.17368417842449,0.0297288616723713,0.0729676805014578,NA,"80835",NA,"04742",NA,NA,NA,"ENSG00000173662","TAS1R1"
"LOC100507537",10.8898754355557,-2.7779020623945,1.27803078191269,-2.1735799338394,0.0297366967470651,0.0729774250036501,NA,NA,NA,NA,NA,NA,NA,NA,"LOC100507537"
"RAB32",921.289976414033,-0.625877039548666,0.288099755654854,-2.17243169167582,0.0298231167547301,0.073179998773595,"RAB32","10981",NA,NA,NA,NA,"Q13637","ENSG00000118508","RAB32"
"MYL5",148.159439271667,0.600510260016079,0.276472531948547,2.17204311684691,0.0298524108732158,0.0732423625400287,NA,"4636",NA,NA,NA,NA,"Q02045","ENSG00000215375","MYL5"
"KCNA1",3.75582327463895,-1.76895951058465,0.814620626606131,-2.17151328214518,0.0298923942381626,0.0733309325717795,NA,"3736",NA,NA,NA,NA,"Q09470","ENSG00000111262","KCNA1"
"ARMCX1",203.906567310056,-0.83903032194252,0.386431919860892,-2.17122416348151,0.0299142316535293,0.0733749703925619,NA,"51309",NA,NA,NA,NA,NA,"ENSG00000126947","ARMCX1"
"SPAG8",11.6311005960721,0.774266846325148,0.356614255736835,2.17116066974205,0.0299190292339077,0.0733772061299709,NA,"26206",NA,NA,NA,NA,NA,"ENSG00000137098","SPAG8"
"CPA3",88.0498935628277,0.944949454409196,0.435252245793916,2.17103866445439,0.0299282497974063,0.0733902873603411,NA,"1359",NA,NA,NA,NA,"P15088","ENSG00000163751","CPA3"
"NAA38",1809.11524597469,0.267755554069341,0.123334951969747,2.17096248705735,0.0299340081515222,0.0733948762390653,NA,"84316",NA,NA,NA,NA,NA,"ENSG00000183011","NAA38"
"SYNRG",1137.66638600778,0.283118137705128,0.130420977464482,2.17080214555384,0.0299461316982639,0.073415068647964,NA,"11276",NA,NA,NA,NA,"Q9UMZ2",NA,"SYNRG"
"SEC23IP",1426.57556155963,-0.244721910319356,0.112754409635855,-2.17039769096123,0.0299767315800176,0.0734805459812921,NA,"11196",NA,NA,NA,NA,"Q9Y6Y8","ENSG00000107651","SEC23IP"
"MAP1LC3C",8.55888532720713,0.999095832258371,0.460388557026207,2.17011438927119,0.0299981813815401,0.0735235800683075,NA,"440738",NA,NA,NA,NA,"Q9BXW4","ENSG00000197769","MAP1LC3C"
"PALB2",958.977808785704,0.411585085053291,0.189666679125232,2.17004424262383,0.0300034944766161,0.0735270581060954,NA,"79728",NA,NA,NA,NA,NA,"ENSG00000083093","PALB2"
"LOC643669",13.7648913693992,1.10261920310981,0.508144123599089,2.16989462615482,0.0300148295314806,0.0735452908400488,NA,NA,NA,NA,NA,NA,NA,NA,"LOC643669"
"ATP6V1G2",16.563335032287,0.791533675498837,0.364795880592711,2.16979883164462,0.0300220889273642,0.073553118971014,NA,"534",NA,NA,NA,NA,NA,NA,"ATP6V1G2"
