Human Influenza
Q13105 Influenza_target
Q13561 Influenza_target
Q14160 Influenza_target
Q15633 Influenza_target
Q15942 Influenza_target
Q49A26 Influenza_target
Q49A26 Influenza_target
Q4J6C6 Influenza_target
Q5SXM2 Influenza_target
Q5W0U4 Influenza_target
Q6PI77 Influenza_target
Q8N4C6 Influenza_target
Q8TD31 Influenza_target
Q96MW5 Influenza_target
Q96RT1 Influenza_target
Q96SI9 Influenza_target
Q99759 Influenza_target
Q9BSY4 Influenza_target
Q9C099 Influenza_target
Q9H1D9 Influenza_target
Q9H3R5 Influenza_target
Q9NX74 Influenza_target
Q9NY93 Influenza_target
Q9UBW7 Influenza_target
Q9UBW7 Influenza_target
Q9Y244 Influenza_target
Q9Y692 Influenza_target
Q9Y6N6 Influenza_target
Q9Y6X2 Influenza_target
Q9Y6X2 Influenza_target
O00459 Influenza_target
O43390 Influenza_target
O60506 Influenza_target
Q08211 Influenza_target
O14654 Influenza_target
P06396 Influenza_target
O00459 Influenza_target
Q03001 Influenza_target
P02795 Influenza_target
Q15365 Influenza_target
Q15365 Influenza_target
Q15365 Influenza_target
Q92499 Influenza_target
Q9HCE1 Influenza_target
O95639 Influenza_target
Q07666 Influenza_target
P33240 Influenza_target
Q12996 Influenza_target
P29692 Influenza_target
P29692 Influenza_target
Q8NCA5 Influenza_target
P55084 Influenza_target
O60812 Influenza_target
P13674 Influenza_target
P07237 Influenza_target
Q8WXF7 Influenza_target
P12004 Influenza_target
Q9Y262 Influenza_target
Q9Y3I0 Influenza_target
Q9Y224 Influenza_target
Q9Y224 Influenza_target
Q9P2I0 Influenza_target
P24928 Influenza_target
O14818 Influenza_target
P0CG47 Influenza_target
Q8TCU4 Influenza_target
P35658 Influenza_target
P51784 Influenza_target
O15294 Influenza_target
A6NKF1 Influenza_target
O15018 Influenza_target
O15287 Influenza_target
O60318 Influenza_target
O75569 Influenza_target
O94885 Influenza_target
O94986 Influenza_target
O95379 Influenza_target
P27986 Influenza_target
P31327 Influenza_target
P34949 Influenza_target
P38159 Influenza_target
P42338 Influenza_target
P53007 Influenza_target
P54105 Influenza_target
P61457 Influenza_target
P61962 Influenza_target
Q10570 Influenza_target
Q13425 Influenza_target
Q14145 Influenza_target
Q32MZ4 Influenza_target
Q49A26 Influenza_target
Q5JVF3 Influenza_target
Q5SRD1 Influenza_target
Q6P2I0 Influenza_target
Q6UN15 Influenza_target
Q6V0I7 Influenza_target
Q7Z3B4 Influenza_target
Q86UA1 Influenza_target
Q8NBZ7 Influenza_target
Q8TD26 Influenza_target
Q92526 Influenza_target
Q92569 Influenza_target
Q96EY8 Influenza_target
Q96PV6 Influenza_target
Q9BUP0 Influenza_target
Q9BV20 Influenza_target
Q9BVV6 Influenza_target
Q9C0J8 Influenza_target
Q9NNW5 Influenza_target
Q9NP64 Influenza_target
Q9NPA8 Influenza_target
